date,amount,category,description
02-11-2024,1000.0,Income,No
01-04-2000,1900.0,Income,OP
15-08-2015,8000.0,Expense,Groceries
23-09-2022,1500.0,Income,Freelance Work
30-10-2020,120.0,Expense,Utilities
11-01-2018,600.0,Income,Investment Return
05-05-2021,75.0,Expense,Coffee
19-03-2017,3000.0,Income,Bonus
04-12-2019,450.0,Expense,Transportation
25-07-2023,1000.0,Income,Scholarship
14-02-2016,300.0,Expense,Valentine's Day Gift
08-06-2025,5000.0,Income,Project Completion
02-11-2024,1900.0,Expense,lastT
